BSC;SITENAME;BCF;TRE_NAME;FE_NUM;ODU_NAME;ODU_RX_MAX;ODU_RX_MIN;ODU_RX_CURRENT;ODU_RX_AVERAGE;ODU_CURRENT_TX_POWER;ODU_ALCQ;ODU_TX_FREQUENCY
DNEB8;DN2202;477;bsc212526_bcf477_2;4;DN2202>DN2251;-34.26 dBm;-120.00 dBm;-47.4 dBm;-48.58 dBm;6;ALCQ;22029000 (kHz)
DNEB8;DN2202;477;bsc212526_bcf477_4080;6;DN2202>DN9122_1;-32.01 dBm;-120.00 dBm;-56.1 dBm;-44.68 dBm;20;Off;14473001 (kHz)
DNEB8;DN2202;477;bsc212526_bcf477_4080;11;DN2202>DN2232;-40.24 dBm;-120.00 dBm;-47.4 dBm;-46.96 dBm;20;Off;14473000 (kHz)
DNEB8;DN2202;477;bsc212526_bcf477_4080;7;DN2202>DN9122_2;-35.02 dBm;-120.00 dBm;-58.9 dBm;-48.45 dBm;20;Off;14473001 (kHz)
DNEB8;DN2202;477;bsc212526_bcf477_4080;12;DN2202>DN2275;;;-39.2 dBm;;3;Off;22165500 (kHz)
DNEB8;DN2202;477;bsc212526_bcf477_4080;5;DN2202>DN2259;-29.43 dBm;-120.00 dBm;-43.3 dBm;-43.43 dBm;20;Off;14445000 (kHz)
DNEB8;DN2281;529;bsc212526_bcf529_4080;2;DN2281>DN9122;;;-47.2 dBm;;18;Off;22123500 (kHz)
DNEB8;DN2258;445;bsc212526_bcf445_4080;4;dn2258>dn2301;;;-48.6 dBm;;0;Off;23033500 (kHz)
DNEB8;DN2258;445;bsc212526_bcf445_4080;2;DN2258>DN2244;;;-42.1 dBm;;5;Off;23093000 (kHz)
DNEB8;DN2259;451;bsc212526_bcf451_4080;4;DN2259>DN2239;;;-39.0 dBm;;7;Off;23170000 (kHz)
DNEB8;DN2259;451;bsc212526_bcf451_4080;3;DN2259>DN2202;-30.03 dBm;-120.00 dBm;-44.4 dBm;-43.25 dBm;20;Off;14935000 (kHz)
DNEB8;DN2259;451;bsc212526_bcf451_4080;5;DN2259>DN2267;-30.36 dBm;-120.00 dBm;-44.5 dBm;-48.44 dBm;8;Off;23369500 (kHz)
DNEB8;DN2214;213;bsc212526_bcf213_4080;2;DN2214>DN2240;;;-35.7 dBm;;18;Off;23208500 (kHz)
DNEB8;DN9121;547;bsc212526_bcf547_4080;3;DN9121>DN2296;-33.34 dBm;-120.00 dBm;-45.1 dBm;-38.86 dBm;18;Off;22022000 (kHz)
DNEB8;DN9121;547;bsc212526_bcf547_4080;2;DN9121>DN9122;-33.25 dBm;-120.00 dBm;-48.0 dBm;-45.26 dBm;20;Off;14417000 (kHz)
DNEB8;DN2226;241;bsc212526_bcf241_4080;2;DN2226>DN2247;;;-43.5 dBm;;14;Off;22361500 (kHz)
DNEB8;DN2263;571;bsc212526_bsf571_4080;3;DN2263>DN2202;-32.42 dBm;-120.00 dBm;-40.8 dBm;-39.18 dBm;20;Off;14963000 (kHz)
DNEB8;DN2263;571;bsc212526_bsf571_4080;2;DN2263>DN9106;-28.95 dBm;-120.00 dBm;-41.3 dBm;-43.28 dBm;18;Off;23030000 (kHz)
DNEB8;DN2221;499;bsc212526_bcf499_4080;3;DN2221>DN2256;;;-44.7 dBm;;16;Off;22022000 (kHz)
DNEB8;DN2221;499;bsc212526_bcf499_4080;2;DN2221>DN2250;;;-49.0 dBm;;18;Off;22162000 (kHz)
DNEB8;DN2219;229;bsc212526_bcf229_4080;2;DN2219>DN2240;-42.45 dBm;-120.00 dBm;-44.4 dBm;-43.85 dBm;13;Off;23023000 (kHz)
DNEB8;DN2233;259;bsc212526_bcf259_4080;2;DN2233>DN2244;;;-41.4 dBm;;14;Off;23369500 (kHz)
DNEB8;DN2206;314;bsc212526_bcf314_4080;3;DN2206>DN2236;;;-42.0 dBm;;8;Off;23201500 (kHz)
DNEB8;DN2206;314;bsc212526_bcf314_4080;2;DN2206>DN2249;;;-44.6 dBm;;18;Off;23058000 (kHz)
DNEB8;DN2201;301;bsc212526_bcf301_4080;3;DN2201>DN2204;-36.59 dBm;-120.00 dBm;-43.1 dBm;-47.78 dBm;14;Off;23187500 (kHz)
DNEB8;DN2201;301;bsc212526_bcf301_4080;2;DN2201>DN2250;;;-45.3 dBm;;15;Off;23369500 (kHz)
DNEB8;DN2213;205;bsc212526_bcf205_4080;2;DN2213>DN2252;;;-42.1 dBm;;9;Off;23131500 (kHz)
DNEB8;DN2223;349;bsc212526_bcf349_4080;3;DN2223>DN2225;-38.15 dBm;-120.00 dBm;-44.7 dBm;-42.06 dBm;6;Off;22354500 (kHz)
DNEB8;DN2231;367;bsc212526_bcf367_4080;3;DN2231>DN2272;-40.21 dBm;-120.00 dBm;-46.1 dBm;-41.77 dBm;7;Off;22193500 (kHz)
DNEB8;DN2231;367;bsc212526_bcf367_4080;2;DN2231>DN2207;;;-39.9 dBm;;7;Off;22029000 (kHz)
DNEB8;DN2302;116;bsc212526_bcf116_4087;4;DN2302_DN2239;;;-41.5 dBm;;2;Off;23023000 (kHz)
DNEB8;DN2212;343;bsc212526_bcf343_4080;4;DN2212>DN2208;;;-39.4 dBm;;16;Off;22351000 (kHz)
DNEB8;DN2212;343;bsc212526_bcf343_4080;3;DN2212>DN2298;-42.30 dBm;-120.00 dBm;-47.8 dBm;-49.20 dBm;13;ATPC;22015000 (kHz)
